"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"1",NA,-1.65620749638868e-05,-7.96970723770603e-06,-5.67332634326695e-06,-7.23590163804765e-06,-7.88164710725919e-06,-6.32346413884763e-06,-5.81534726081274e-06,-7.06737397372367e-06,-6.75745283319181e-06,-6.30014713448946e-06,-6.54368340372464e-06,-6.59741386103893e-06,-5.74262195512121e-06,-5.88923795409875e-06,-6.0470622462676e-06,-5.11676115449357e-06,-4.67206683365483e-06,-4.83046568712718e-06,-5.87968452844133e-06,-4.96424439021284e-06,-4.63094711023048e-06,-5.27489732707045e-06,-5.61335223899854e-06,-5.24766369085528e-06,-5.19942179939911e-06,-5.26267515050621e-06,-5.6463588780988e-06,-6.32308499366688e-06,-6.51285091430216e-06,-6.41559185498256e-06,-6.47902873728564e-06,-6.69647493668787e-06,-6.79111170778503e-06,-6.07307390136593e-06,-6.23432611107498e-06,-5.57915887597642e-06,-6.04437275891407e-06,-5.93073994180918e-06,-6.08902018344434e-06,-5.98582181787747e-06,-5.65039276029804e-06,-5.82980679575436e-06,-5.9163146471621e-06,-5.73981413565325e-06,-5.3619335734508e-06,-5.65611068320931e-06,-5.54547338630772e-06,-5.79846492291113e-06,-5.652391054346e-06,-5.63610889061164e-06
"2",NA,NA,-4.33916373959941e-06,-4.22452969953409e-06,-4.22654119326141e-06,-4.65766590190855e-06,-5.32966139065682e-06,-5.2444097306479e-06,-5.36917403131715e-06,-4.39038901055457e-06,-4.27172070687124e-06,-3.23334580275019e-06,-3.67398257870127e-06,-2.95432625927036e-06,-2.93517242351167e-06,-3.13009418581394e-06,-3.44000425449114e-06,-3.21345162568614e-06,-3.01545674862212e-06,-3.79145567062146e-06,-3.171706783304e-06,-2.94362168549202e-06,-3.73889795396456e-06,-3.70441920887098e-06,-3.92895884911955e-06,-4.00005993622863e-06,-4.57327553271974e-06,-4.76596575814226e-06,-5.05191190332711e-06,-5.29495161438666e-06,-5.36381285337168e-06,-5.43947564048859e-06,-5.36975946415446e-06,-5.59042742714092e-06,-5.49457197995321e-06,-4.99204422122314e-06,-4.46222653885766e-06,-4.42888575483337e-06,-4.20674127362324e-06,-4.14623234202256e-06,-4.03397731158477e-06,-4.23528381930471e-06,-4.33817662717353e-06,-4.05235538832493e-06,-4.27793404520745e-06,-4.25727700142204e-06,-4.54642229326775e-06,-4.44827678143066e-06,-4.18666067341855e-06,-3.97626166788129e-06,-4.18261277893146e-06
"3",NA,NA,NA,-2.77838852020064e-06,-1.82912322648452e-06,-3.66550032893477e-06,-3.99472623659953e-06,-5.04116190671017e-06,-3.97314557721508e-06,-4.00393297168092e-06,-3.13185948625819e-06,-2.21198088900315e-06,-1.49748643215366e-06,-2.22107480920001e-06,-3.28388576257236e-06,-3.22641394647225e-06,-2.63828269264793e-06,-2.84609977325524e-06,-2.94537317559009e-06,-2.71553387836012e-06,-2.90719829453099e-06,-2.91301128392815e-06,-3.13175090728155e-06,-3.85802666606576e-06,-4.57949423256642e-06,-4.83083106440379e-06,-4.02678851360828e-06,-4.1519025726883e-06,-4.10790010815814e-06,-4.68962714685464e-06,-4.56975958060999e-06,-4.85462612409507e-06,-4.84989401073542e-06,-5.04108692246421e-06,-4.49802047333005e-06,-3.97338115422916e-06,-4.09313331836265e-06,-4.3452012014962e-06,-4.05686956131388e-06,-3.83001429412815e-06,-3.60582534186166e-06,-3.90707997420002e-06,-3.68417250520981e-06,-3.12391154539427e-06,-2.95058430991935e-06,-2.64048043340689e-06,-3.04093524505914e-06,-3.18310190014758e-06,-2.99913489561222e-06,-2.99331114664009e-06,-3.11814435251732e-06
"4",NA,NA,NA,NA,-4.12793277323835e-06,-4.7468082736049e-06,-5.62398090128049e-06,-6.1516632859885e-06,-4.69018433016213e-06,-5.35026128512433e-06,-5.52137743927205e-06,-3.43384621553694e-06,-2.73521147771314e-06,-3.60300148453773e-06,-4.33801181812855e-06,-3.6856544650201e-06,-3.21896668040401e-06,-2.76884422038812e-06,-3.48173852486557e-06,-2.84517140137622e-06,-3.45186047676626e-06,-3.9344811228557e-06,-4.85532706916323e-06,-4.64794379846423e-06,-5.01010190576122e-06,-4.77919490850834e-06,-4.35000749929457e-06,-4.16451897150427e-06,-4.50227947391053e-06,-4.80770810156448e-06,-4.97459311896133e-06,-4.70178246986452e-06,-5.1337119334763e-06,-4.87990513810129e-06,-4.76368677110995e-06,-4.55219275676014e-06,-4.53950069285155e-06,-3.87543952205475e-06,-3.67138634584512e-06,-3.5575755940682e-06,-3.38757104083825e-06,-3.75102203812729e-06,-3.75468738975316e-06,-3.74491005078217e-06,-3.21872136944206e-06,-3.09993585912874e-06,-3.22902050283462e-06,-2.78394199893023e-06,-2.78388156813337e-06,-3.03205361937144e-06,-3.18683552899073e-06
"5",NA,NA,NA,NA,NA,-7.17202895458085e-06,-7.8449102256055e-06,-7.47002995436464e-06,-6.95983355687456e-06,-5.83704399364828e-06,-5.3535211655472e-06,-4.40571466190151e-06,-3.4018256448883e-06,-3.9698097248949e-06,-3.78742218644482e-06,-3.15303440549504e-06,-2.78781830123505e-06,-3.00574638340037e-06,-3.27862177727063e-06,-2.97999248681654e-06,-3.2028510450698e-06,-3.5130003320951e-06,-4.0968306787581e-06,-5.30650235698742e-06,-4.81441762986952e-06,-4.81375456013881e-06,-4.35130146956631e-06,-4.5090873978188e-06,-4.23610730225465e-06,-4.97631519955847e-06,-4.73792844654159e-06,-5.10484891113481e-06,-5.14367529037733e-06,-4.96345986848846e-06,-4.77325291101159e-06,-4.74357447138861e-06,-4.07104569650636e-06,-4.08073101190524e-06,-4.35519913689307e-06,-4.40196505772708e-06,-5.13724742996008e-06,-5.27621302708591e-06,-5.25479343457274e-06,-5.05897750229521e-06,-4.46450255758899e-06,-4.69879936938295e-06,-4.02526034147368e-06,-3.56186862335717e-06,-3.38159455476864e-06,-3.33230374591406e-06,-3.23519390833812e-06
"6",NA,NA,NA,NA,NA,NA,-8.1648499624842e-06,-8.13796202873398e-06,-6.617394114538e-06,-4.56036225754502e-06,-4.71845798519069e-06,-4.02660551966705e-06,-3.63590747339763e-06,-3.01973942412584e-06,-3.25023383034473e-06,-2.97551614343704e-06,-2.75948483514477e-06,-2.43278746386603e-06,-3.22555488831807e-06,-3.81486974453818e-06,-3.50779380957873e-06,-4.67084378584472e-06,-5.0060721357587e-06,-4.83597387793468e-06,-4.61627848526885e-06,-4.81011765161536e-06,-4.50709203027794e-06,-4.65408753277669e-06,-4.3809754152384e-06,-4.38826866922603e-06,-4.88458402416824e-06,-5.300351365628e-06,-5.20076264800931e-06,-5.08416262263427e-06,-4.79090325254464e-06,-4.89655377380238e-06,-4.92511544635775e-06,-4.9661481952525e-06,-5.03531574967709e-06,-4.54230565468937e-06,-4.80928608640585e-06,-5.06751080163969e-06,-4.79025625486858e-06,-4.4759962620535e-06,-4.22530431148296e-06,-3.46751610789282e-06,-3.23005148115827e-06,-3.34858595978104e-06,-3.53388720312021e-06,-3.49964682234257e-06,-3.71211571058097e-06
"7",NA,NA,NA,NA,NA,NA,NA,-7.04563557070998e-06,-5.25668645547526e-06,-4.50582956210531e-06,-5.17720612207764e-06,-4.079916112062e-06,-3.94178195300987e-06,-3.12428892788368e-06,-2.84849001090958e-06,-2.89788059268401e-06,-3.27957858967541e-06,-2.39866296562039e-06,-3.16007415103269e-06,-3.76882764636476e-06,-4.23446280394136e-06,-5.03421521156334e-06,-5.07295834660107e-06,-5.29054312087059e-06,-5.04627890041602e-06,-4.71672365185096e-06,-3.95702493347221e-06,-4.45976682058099e-06,-4.48413104972715e-06,-5.24860706443754e-06,-4.58730012485893e-06,-4.07262440516472e-06,-3.82278532049804e-06,-3.43610560124415e-06,-3.90996100749155e-06,-4.29388457884164e-06,-3.914230844628e-06,-4.34437118585282e-06,-4.09841923057625e-06,-4.03833628708586e-06,-3.72222239353858e-06,-3.21056213280052e-06,-3.02501592825181e-06,-2.87424176941524e-06,-2.77065489868693e-06,-2.46326279275303e-06,-1.76296433728221e-06,-2.19724631534545e-06,-2.44277565374989e-06,-3.14760163445954e-06,-3.63510574753358e-06
"8",NA,NA,NA,NA,NA,NA,NA,NA,-2.81706806734547e-06,-3.61371788580794e-06,-4.16017269531992e-06,-3.44773774470453e-06,-3.68825276149966e-06,-2.4128891906571e-06,-1.94504770618071e-06,-2.16903112051707e-06,-2.66093238528062e-06,-3.10631113924872e-06,-4.42597488040249e-06,-4.65764629935323e-06,-4.8097511306833e-06,-4.92533632761472e-06,-5.18687012515656e-06,-5.09402761413877e-06,-4.35438167390259e-06,-5.21958581757387e-06,-4.14371638164714e-06,-4.18435636803771e-06,-4.17351192294799e-06,-4.35275004315391e-06,-4.37876241284772e-06,-4.24688428146614e-06,-3.80062750779439e-06,-3.8038124173012e-06,-4.08433905472397e-06,-3.79304706368412e-06,-4.22702233022575e-06,-4.23211235646709e-06,-4.37149818539952e-06,-4.51753019588206e-06,-4.36097255680453e-06,-3.86082097146322e-06,-3.40458978244695e-06,-3.0886556011881e-06,-2.90993144334386e-06,-2.94081385404513e-06,-2.88296085460876e-06,-3.31605030657094e-06,-3.29861303252677e-06,-3.50929323346229e-06,-3.47071343024771e-06
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.23896937202261e-06,-4.94981965621007e-06,-4.10466104633836e-06,-3.68651298479737e-06,-2.80584070718792e-06,-1.77047329682728e-06,-2.56593261829409e-06,-2.56596439607218e-06,-3.98359631794502e-06,-4.47033220072034e-06,-4.55919364253409e-06,-4.94789275177282e-06,-5.0965133534491e-06,-5.12398845491561e-06,-4.10350932700149e-06,-4.57904891244565e-06,-3.41094777584139e-06,-3.39880278953389e-06,-3.67720774413344e-06,-3.91991757404069e-06,-3.42008370287302e-06,-3.26714442140878e-06,-3.27315898604198e-06,-3.84717663056271e-06,-4.24861787520192e-06,-4.1455750249565e-06,-4.5265968524098e-06,-4.03748001713078e-06,-4.20272938279568e-06,-4.27913905195668e-06,-4.94463845127425e-06,-4.95422492496926e-06,-4.20168857622632e-06,-3.51548241901209e-06,-3.10383745854476e-06,-2.88477955316154e-06,-2.90190455509267e-06,-2.9954495345048e-06,-3.65943565666301e-06,-3.66250162079128e-06,-3.87552497371179e-06,-3.67290551315027e-06
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.04309876391554e-06,-2.90116994339451e-06,-2.42303229951107e-06,-2.63786640024883e-06,-2.05106256618287e-06,-2.32738214096558e-06,-2.26609332996941e-06,-3.59483732985364e-06,-4.11594056869573e-06,-5.31959668551639e-06,-5.02361592008416e-06,-5.000228450864e-06,-4.12992534930602e-06,-4.46843822539744e-06,-3.83714069066133e-06,-4.32666480878934e-06,-4.38944484883376e-06,-3.65376350338298e-06,-3.28086500361432e-06,-3.72881029928834e-06,-4.5326217683868e-06,-4.42669982687483e-06,-4.31664236312576e-06,-4.51663992796825e-06,-4.99391545488059e-06,-5.1931582699706e-06,-4.67768307827293e-06,-4.26123942195913e-06,-4.19642531395057e-06,-4.2603405368659e-06,-4.29463756139341e-06,-4.37762722901221e-06,-3.76190196689873e-06,-3.50501808677351e-06,-3.14921801187223e-06,-3.05163006693469e-06,-3.53836397799789e-06,-3.17319825657222e-06,-2.99678041355651e-06,-2.66681078361723e-06,-3.27603588845718e-06
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72679645373928e-06,-1.55676394025106e-06,-1.06532459222635e-06,-1.90044808540759e-06,-2.48298086401952e-06,-2.3799673238449e-06,-2.78978228084179e-06,-3.23615424454061e-06,-3.14619375134442e-06,-3.76472530477822e-06,-3.7365211397074e-06,-3.08578362499253e-06,-3.36831528258996e-06,-4.09937819490907e-06,-3.9456345659532e-06,-3.76454633718102e-06,-3.39709848270605e-06,-3.53685378478962e-06,-3.5837433441083e-06,-4.14062766692736e-06,-4.09892557322404e-06,-4.50108011853918e-06,-4.51930121139653e-06,-4.08040815253111e-06,-4.24833017140041e-06,-4.8074538985163e-06,-4.99254308433321e-06,-4.77701923948001e-06,-4.24759021236168e-06,-3.72872214840477e-06,-4.00995729616293e-06,-3.49467749002442e-06,-3.78586208070562e-06,-3.50956434245113e-06,-3.78207141350193e-06,-3.80645309466243e-06,-3.06194525876995e-06,-3.19006747514051e-06,-3.08970958348196e-06,-3.30380364778204e-06
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12879407779678e-06,-1.84666456183666e-06,-2.38423493439518e-06,-2.40321788999317e-06,-2.71668889975412e-06,-2.08795084694068e-06,-3.36225592250579e-06,-3.87198032101781e-06,-4.23257186838432e-06,-4.2170745128315e-06,-3.85993971366457e-06,-3.65473717991491e-06,-4.06825826718246e-06,-4.01804640915185e-06,-3.95822434264168e-06,-4.01354621815423e-06,-3.50593504333027e-06,-3.72984873794339e-06,-4.37307116091604e-06,-3.86250004414221e-06,-4.20734952452167e-06,-4.48577215642396e-06,-3.76877146910548e-06,-3.54012301116134e-06,-4.09575588564191e-06,-4.48776362187814e-06,-3.96164982588678e-06,-4.07921954447836e-06,-3.48425437957283e-06,-3.17362055252015e-06,-3.39709851228114e-06,-3.47954431120667e-06,-3.28162098585238e-06,-3.52144406123411e-06,-3.59596606946543e-06,-3.74045575095122e-06,-3.69892003502808e-06,-4.50094126502408e-06,-4.2483398523992e-06
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.47347989407382e-06,-2.32617090320896e-06,-2.52593623027443e-06,-2.70515674816627e-06,-3.14318842500776e-06,-3.571225535804e-06,-3.51218991840808e-06,-4.70879046805972e-06,-3.96384852322443e-06,-3.57125063698666e-06,-3.55018460253972e-06,-4.05135985904838e-06,-4.0466113995053e-06,-3.79872484576231e-06,-3.85136766094131e-06,-4.01943442916341e-06,-4.42374637825546e-06,-3.8850369695317e-06,-3.73115494957167e-06,-3.39507505492902e-06,-3.78992042981487e-06,-3.35440814294009e-06,-3.33013601955629e-06,-3.75991136330277e-06,-3.59367747170323e-06,-2.96342492072399e-06,-2.82388125351589e-06,-3.10138789226068e-06,-3.03513524123734e-06,-3.14489116425032e-06,-3.14818033413289e-06,-3.73608444353486e-06,-3.78721094705769e-06,-4.11062928666061e-06,-4.4662281631853e-06,-4.24651231050931e-06,-4.26498425769507e-06,-3.92443354452118e-06
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32615195642027e-06,-1.75014881605112e-06,-2.7113732465193e-06,-3.33274485317779e-06,-3.91582520455236e-06,-3.70098653402091e-06,-4.57111689086549e-06,-4.47255794953974e-06,-4.21986259241237e-06,-4.29604980701493e-06,-4.37050772433491e-06,-3.92575548313639e-06,-3.89449029489335e-06,-4.31177271473781e-06,-4.04264588094402e-06,-4.55504988059863e-06,-3.88795863312223e-06,-3.58438897262878e-06,-4.2145086196004e-06,-4.24165429112794e-06,-3.81021474500875e-06,-3.46096585625389e-06,-2.89964181426459e-06,-2.89284280037478e-06,-3.3062929019925e-06,-3.2438340196325e-06,-2.87114741605072e-06,-2.84117683708985e-06,-3.09835790110838e-06,-3.68155534641935e-06,-3.97422091424368e-06,-3.47891900701174e-06,-3.41310878020731e-06,-3.47329403044357e-06,-3.58635752161466e-06,-3.36801409554822e-06,-3.59525272482677e-06
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25883190327933e-06,-3.56397207590805e-06,-3.36112783898765e-06,-4.97208439703855e-06,-4.92509061427503e-06,-4.64281490274076e-06,-5.23773618096865e-06,-5.78238873982148e-06,-5.96829112573726e-06,-4.95559845215438e-06,-4.34819734548528e-06,-4.84375780874141e-06,-4.28620828744032e-06,-4.97327043825421e-06,-4.81884956470264e-06,-4.18570090991008e-06,-4.78899928779764e-06,-3.98122846106011e-06,-4.05073754839203e-06,-3.76932907120984e-06,-3.9619365156839e-06,-3.49204523019996e-06,-3.24273317057131e-06,-2.34428695686551e-06,-2.61881839928464e-06,-2.45490771572867e-06,-2.89478979549824e-06,-2.8497442795604e-06,-3.20390847620113e-06,-3.48289343340221e-06,-2.99723429778944e-06,-3.36100408109247e-06,-3.35509155352481e-06,-3.07305949445725e-06,-3.38282422927059e-06,-3.29650764031151e-06
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.57299970697192e-06,-4.0451758642983e-06,-5.60369182971108e-06,-5.38370902908903e-06,-5.65621650344573e-06,-6.17952155106504e-06,-6.89043867296285e-06,-6.66045480762864e-06,-5.09156346468577e-06,-4.93578482262185e-06,-5.23104290433751e-06,-5.56170153163687e-06,-5.09256909133218e-06,-4.97592273501246e-06,-3.9670302872377e-06,-3.83518919564852e-06,-4.27096874980161e-06,-3.77318750966092e-06,-4.05685569629511e-06,-3.68729014477072e-06,-3.21278362856285e-06,-3.46270303009656e-06,-3.0539639320866e-06,-3.13045101388664e-06,-3.3466427403711e-06,-3.2049610301997e-06,-2.95475442168622e-06,-3.43390379664211e-06,-3.76990182875367e-06,-3.57782388521501e-06,-3.1974102096322e-06,-3.28291454860695e-06,-3.40561202769452e-06,-3.54921329468482e-06,-3.16179988175653e-06
